City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,coquimbo,-29.9533,-71.3436,287.0,82,0,1.03,CL,1699932582
118,puerto armuelles,8.2833,-82.8667,300.42,84,100,3.13,PA,1699932582
119,wailua homesteads,22.0669,-159.378,300.39,81,40,7.2,US,1699932582
120,usogorsk,63.4106,48.6872,272.41,94,100,2.78,RU,1699932316
121,yuzhno-kurilsk,44.0306,145.8556,275.58,80,44,9.84,RU,1699932582
122,ismayilli,40.779,48.1638,276.55,62,99,1.65,AZ,1699932583
123,papatowai,-46.5619,169.4708,290.57,47,64,6.51,NZ,1699932583
124,port lincoln,-34.7333,135.8667,290.52,68,61,4.5,AU,1699932583
125,gizo,-8.103,156.8419,300.87,75,100,3.78,SB,1699932583
126,barcelos,41.5388,-8.6151,291.23,92,91,3.1,PT,1699932584
127,kodiak,57.79,-152.4072,277.88,48,0,4.63,US,1699932584
128,happy valley-goose bay,53.3168,-60.3315,267.32,73,40,3.6,CA,1699932584
129,nar'yan-mar,67.6713,53.087,265.43,96,100,4.02,RU,1699932584
130,alice springs,-23.7,133.8833,308.9,13,5,2.57,AU,1699932295
131,tromso,69.6496,18.957,264.16,92,57,1.03,NO,1699932585
132,dhana,23.75,78.85,293.07,51,98,2.1,IN,1699932585
133,hithadhoo,-0.6,73.0833,300.53,80,46,4.42,MV,1699932585
134,takamaka,-0.6,73.0833,300.53,80,46,4.42,MV,1699932585
135,hun,29.1268,15.9477,290.13,85,53,3.2,LY,1699932586
136,bondo,3.8146,23.6866,294.09,100,100,1.24,CD,1699932586
137,walvis bay,-22.9575,14.5053,288.68,88,0,1.54,NA,1699932586
138,lazaro cardenas,17.9583,-102.2,299.82,81,37,1.88,MX,1699932586
139,port elizabeth,-33.918,25.5701,289.31,84,75,4.63,ZA,1699932586
140,tyukhtet,56.5389,89.3011,271.3,88,96,4.47,RU,1699932587
141,taiohae,56.5389,89.3011,271.3,88,96,4.47,RU,1699932587
142,madras,13.0878,80.2785,299.24,90,75,2.06,IN,1699932587
143,ribeira grande,38.5167,-28.7,289.69,81,100,2.68,PT,1699932587
144,quellon,-43.1167,-73.6167,277.43,81,95,3.53,CL,1699932587
145,badger,64.8,-147.5333,270.08,91,100,0.0,US,1699932588
146,kosh-agach,50.0,88.6667,259.99,88,74,1.34,RU,1699932588
147,bathsheba,13.2167,-59.5167,300.49,78,20,8.75,BB,1699932588
148,la sarre,48.8002,-79.1996,273.44,98,100,4.35,CA,1699932588
149,dawesville,30.9224,-84.0091,288.35,78,75,0.89,US,1699932589
150,ventanas,-1.45,-79.4667,301.14,68,98,1.92,EC,1699932589
151,gazojak,41.1875,61.4036,279.6,39,38,4.69,TM,1699932589
152,dawei,14.0833,98.2,303.44,65,84,3.96,MM,1699932589
153,petauke,-14.2426,31.3253,294.16,69,31,4.02,ZM,1699932589
154,kruisfontein,-34.0033,24.7314,284.38,91,47,2.51,ZA,1699932590
155,rikaze,29.25,88.8833,276.8,49,50,1.45,CN,1699932590
156,keminmaa,65.8596,24.8228,263.02,85,0,4.63,FI,1699932590
157,mount gambier,-37.8333,140.7667,289.85,54,100,2.57,AU,1699932591
158,gorgoram,12.6398,10.7039,299.46,19,99,4.14,NG,1699932591
159,hawaiian paradise park,19.5933,-154.9731,296.98,93,75,0.45,US,1699932507
160,constantia,44.1833,28.65,278.54,58,54,4.04,RO,1699932591
161,eirunepe,-6.6603,-69.8736,297.79,91,57,0.66,BR,1699932591
